review_id,user_id,business_id,stars,date,text,useful,funny,cool
kK6-FNimC9kSqOui582Z-w,828ie7XO6BvmsMEYSU2lIA,xHdw3KQ2VRECFb5XhvHgig,5,2017-11-06,Reaonable prices very cheerful nice people and great service I am a total fan just tried it this week for shirts! LOVE IT WILL BE BACK THANKS JORGE!,0,0,0
wukDP2BoMmkARogOwdrNFA,Zlmlq8CDvY-_TIyRSYNC2Q,poSV39UqEg-gpESXafS9-g,5,2016-01-22,"I happened on this restaurant today when I was apartment hunting.  I had had the same type of meal at LA Crawfish in Tomball, TX.   The Angry Crab, however, had a larger selection of fish and seafood as well as sauces and intensity of heat.   I had the shrimp with a potato and small ear of corn.  I got the Trifecta Sauce and the medium heat.  It was SO good!   The medium heat was pretty spicy, but once I got used to it, I loved it.If you are looking for your typical Louisiana crawfish or shrimp boil, this is not the place.  Their shellfish comes in a plastic bag with the sauce you pick.  You don't need to dip it in a remoulade sauce or cocktail sauce.  It comes ""swimming"" in the sauce you select.They have raw oysters, poor boys, gumbo and more.  The atmosphere is very relaxed.  You can't go wrong here!",7,1,4
-KbRdzYVlach2osbuNOhPQ,5iBWhMeLB3dcKF0q-XA-gw,wX1ORSDKPkA5ftE7F6UONw,5,2011-11-21,"This place is awesome! My boyfriend Charles and I just drove 4.5 hours from California and it was 7:40pm and we were out-of-it and starving. We were going to take our food to-go as BFG closes at 8pm, but the owner Jin was soo nice and understanding, he still let us eat-in. I mean the hospitality was AMAZING...and so was the food! Chicken strips can be easy to dry out, if not done right, but man...whether it was fried or baked these strips were always moist and seasoned just right. My boyfriend loved the fried because he loves panko breaded chicken :)  The mac n cheese....ohhh gooey cheesy goodness. Actually baked in the oven.well, long story short, we were in town for less than 48 hours and we managed to come back and eat here twice! Thats how good it was. It was the best $6 meal I'd had for as far back as I can remember...The simplicity of the meals is what makes this place best...The chicken is really the star here. Plus, the portions are perfect.  Fantastic food at a fantastic price...oh it was AWESOME.Thanks Jin! Next time were in town, we'll be back  :D",0,0,0
CZQVl17BoF-kRuZxqVF1hQ,BeEjkqg8_1DPOQsUIo7Vug,wl0QZqAzr1DelslQ02JGCQ,4,2017-06-21,"Cool place for a beer and some mouth chunks. Baked all ways with many flavors to offer. Their menu has lots to choose from, we ordered 7 different plates for only 4 people and we had a great time drinking and eating.",0,0,1
Z3CV_pbdW5ICZaAVkOudwg,BeEjkqg8_1DPOQsUIo7Vug,U5ZlFP1kBFzlmnaIn1f9sQ,5,2016-07-29,"Good service down to earth and real family business. They got momma working the Sushi bar... We wanted something chill, good food, light noise and pow it's here.",0,0,0
gThKuCqpL67FYbMphcEh_w,oclbMgZeVuEwXz6e73SsPA,4nJWUXQqm8vxubgC_0AcCQ,1,2013-03-22,"I ordered a burger and some fries. Oddly, they do not accept any other form of payment other than cash. Burger was very dry and lacking any kind of seasoning. Bun was heated on the grill and tasted meaty.  Took 2 bites and literally threw away burger! Also fries were burnt looking. If I could give a rating of 0, I would, but Yelp only allows a minimum of 1 star.",8,1,0
4ZauABH6WsWekGqUWnGzvA,hyodBlBoYFRyAfIfnkRihg,CJARk-YCOl02hxznvHQ3Lw,5,2017-09-28,"The macarons here are amazing! I had gotten a box from here and from Amelie's to compare. In one sitting, I ate both boxes and hands down, Le Macaron's were so much better- moist inside and flavors were on point.",0,0,0
-JCQmOueZBMHDjzD-nVLDw,i3y8pLnqRKZe__AQQnF5WQ,H4AvltDM9QY8Up8z-ybUyQ,4,2013-05-09,"Been there twice for lunch buffet, it was quite good. Specially desert and Shrimp fry",1,0,1
y5ApA-mSniMBn_tlrBtYYg,i3y8pLnqRKZe__AQQnF5WQ,2GryItAj3e0uOQ5m42-wDg,5,2013-08-24,Been there on Saturday noon. It had hell lot of items for buffet n most of them were good.,0,3,1
FCp2mvWSRRuNaP2kT1V4HQ,ARsqDLmxeIIo17ufeAnNkQ,QqbZA4r5g1vCbOxOAKJgWg,5,2017-07-16,THE BEST BURGER IN THE 'BURGH - HANDS DOWN!! Great flavor - always perfectly seasoned and cooked to your preference.  We have been enjoying Tessaro's for years and we have never had a burger that was cooked incorrectly.  The home fries and the potato salad are my favorite side dishes. The salads are also amazing - the strawberry vinaigrette is mind blowing!! BONUS: They have ICE COLD Rolling Rock pony bottles to enjoy with your burger!!,1,0,0
bvZF2U0JLd5jviEnBzWGrw,kaSQnNh7zkOgXnm8dxUvtg,Lhl72icGvaW2rFClTy-hog,5,2016-07-13,"This is the best sushi place in the west valley! Anything you order- sushi, noodles, even the edamame is super delicious!",0,0,0
k65a2Tz5engpQ1gChjqQkw,g8czKouN2FBTsYvsnQ-J5A,VUtazCTIc0aoOrQprP_s-Q,3,2010-07-27,"I would say its a fun place but similar to everything in Vegas, lets just put somebodys name on it and try to sell some t-shirts.  The food is decent but I've been there once and don't need to go back.",0,0,0
chVWq7DrrNn8XDpm-oksUg,I1By1s8yz0-JpMwAk_KolQ,poSV39UqEg-gpESXafS9-g,3,2016-01-02,"Interesting concept. Food was alright....not awesome, but fair. Stopped in while traveling....like the atmosphere and the no plate get messy and enjoy way of doing things. Had mussels and king crab with the trifecta spice.....would eat here again if for nothing else the fun of it.",0,0,0
Q5NHG2DSTxdDzfgK0kthbg,taPq7IxYskEWH7Vfc261pQ,i3xNojPeHIVMSbSYtIU0aA,4,2015-12-28,"The Gap in the forum shops has some good finds. It's large and has a good variety of inventory, including some GapBody items. We came after Christmas and the whole store was on sale.I got some nice soft grey denim jeans for like $20 after the sale. Gap has really improved their clothing in the past few years and I find myself buying more clothing these days.",1,1,1
i14mRLFo3rPb_JqN94KeYg,EW2So0HMefCyxC8S3Lt2pw,EdIFp1tdPi1267hm3da6Nw,5,2017-05-28,Ate here last night on a thurs 530 or so. Excellent BBQ place. Very casual. A little off the strip near koval and flamingo. Best ribs and chicken around. Super great sauce and sides come with it.The price you can't beat. Simple menu and food came super quick and service was fabulous. Will be back there soon and I am a local and usually try to avoid the strip but worth driving to this place. It is in their small casino and I did read that no one under 21 is permitted so important to know if you plan to bring kids.,0,0,0
jmOAByXUKYW8-zFw08RKsQ,EW2So0HMefCyxC8S3Lt2pw,TvLxEQQbjUzInJiKUye7zA,5,2016-11-12,Super great reflexology place. A few miles further than my other place but worth it. $20 price. Don't buy Groupon because it's the same price and that way you get credit on card they give. Buy 10 and 11th is free. Very clean and great techniques she used. I had Bella and plan to return very soon!,0,0,0
Zl20Xfr1QpvwiriROjSsfw,3XLLRwPYbdP2jlHjGCF4bQ,c31YqsnR1aTaSzawqa3L7w,5,2013-10-15,Wow what a nice find in FH. The Sangria and afternoon Tapas plate for $12 was wonderful. Visiting from Chicago and highly recommend - will be back on our next trip.,0,0,0
IdvGTJxrNtMO433UQuta1w,diCZG72KVHDrg6Eq2yXXIA,gUQXksFGvShjSl7Xil41bQ,5,2017-07-16,"I had calles ahead of time to see how much it was to replace my phone battery. I had called around and mobile squared gave me the best price. I went to get it replaced and rather than take my money, the associate went through with me on how to make sure my phone was optimized and tips to try saying the battery may not be the problem.  They couldve just taken my money and gotten rid of me. Instead they gave me great advice and took nothing! I would trust these guys anytime you have a problem with your phone because they're clearly very honest in their work!!!",2,0,0
nidGbLcYvkyz64Mi50oNWA,iCMGR_a7BuFPqZBw-IPNiA,akcE6koWIzb2ZHKXeuh1zw,1,2017-03-19,"I've done dozens of escape rooms before and compared against say Escape Games Canada, Omescape, and Mayze, this place leaves much to be desired. Without spoiling any details of the room--- I can say while certain individual elements were somewhat clever puzzles, the overall playthrough lacks continuity and immersion\/production value. Without any social media or student discount, 22 bucks is rather steep for such a lackluster experience.",3,0,0
ddCIAhElYh39pKSsrTR_7g,5rKcfikQpxGKA__5Tx8HEg,Q39lkuSwfg-7CblOixLQDA,5,2016-07-14,"We spent months browsing jewelry stores in several states and could never forget the very first engagement ring I loved - we saw it right in our own backyard in Vegas at Michael Minden.When my fiancee proposed it was the one he had, I loved it - I love it more each day and I get SO MANY compliments on it. It's breathtaking. Michelle helped him pick the center stone. She helped us when it was time to design the bands to match it. She doesn't mind when I randomly pop in and ask for it to be cleaned and checked out to ensure no loose stones.I am SO glad he bought my ring in our hometown and with Michelle's help. I love wearing a custom design that no one else will ever have. Thank you MM and Michelle!",2,0,0
PwdtlBowzM8C6QYc4wjrTA,WyRoMqC6wPfZFxooKr9jZQ,S6TP_aHo6d7AkkBBKe249A,1,2017-01-25,"We LOVE BBQ! After waiting and watching for months we had the opportunity to eat lunch on 1\/23\/17. You order, pay, get a number and the food is delivered to the table. Silverware is plastic. Overall VERY disappointing and over priced. We ordered a combo meal which was supposed to come with 3 meats each 1\/4 pound. We chose pulled pork, brisket and hot sausage. The pulled pork was probably 1\/4 pound but the other two WAY light. Ordering corn bread consumed the one included side. We ordered a second side... the recommended beans. The container of beans was incredibly tiny. The woman at the cash register should not be interacting with customers. She was rude and somewhat snobish. There are two BBQ sauces. The mild has better flavor. They have a nice looking bar that diea not open until 3pm. We won't be back unless things change.",12,1,1
xoCZrNUwighhnj4mSOEKWA,4_rFGheun09YKJ10_NxA9g,QiuTcA0bKQMCyOFBFJZ58w,1,2015-06-10,Last night me and my two friends stopped to get couple tacos before going home.  Not only everything did not taste good. Today all 3 of us suffering from food poisoning.,1,0,0
BnV2oRzE3rmwMIG_k_qHDA,lGFYKMzEtq8Y1Cb-fBOG6g,hTdJAjSZtHWwqqh5cCeAfA,2,2017-07-13,"Our family goes to red lobster every month and last week's bar harbour bake was very disappointing. For $32.00, instead of 3 full sized scallops, they now replaced it with about a dozen puny little ones that you can buy for a dollar a pack at any grocery.  The size of their shrimps have also reduced to smaller than medium. The amount of pasta has also gone down, making this dish entirely not worth the money. I don't care about your cheap mussels.",0,0,0
g0eouQanJciPsbz6kZaaMg,wTImC30-ZOgXZY5SATwmGg,ZCrK07xb6w5Vi1vathV0NQ,4,2016-09-17,"I came in here today (Saturday) because the two Japanese places I wanted to eat at were closed for lunch. I've been here before but it wasn't as great as it was today. I ordered Agedashi tofu and Bibim Nengmyun. Most people would think the agendashi tofu is average here, but the one I ate today totally hit the spot. They used silky soft tofu and fried it in a light batter. I asked for a less spicy Bibim Nengmyun because I can't eat very spicy things. But the kitchen was accompanying of my sensitive tastebuds :) I had to get seconds on the side dishes because they were sooooo good!",0,0,0
tcrO3Bi2oaLvJaNX4RjHkQ,wTImC30-ZOgXZY5SATwmGg,BsFAotQQE1yRVVJEDADaJw,2,2016-01-30,"I just ordered from Ubereats. And my order came about an hour and half late. I called Uber to see what the problem was, and they just offered me free credit. When the delivery man came to my door he told me he had to wait 45minutes just for my order! My food was close to freezing. If you can't make the food and have it delivered on time, you shouldn't even have your business on Uber. The food wasn't terrible, but I think if I ever try it again, I'd eat it at the restaurant.",1,0,0
F_ndVlqW4aEhftNaECzVqg,KhwQSMvm_ZW-9PBwzGhTEw,OJdufUU3hVabgviIBHksYw,5,2014-12-20,"We had our Christmas party there last night, what a great time.  Good food, good drinks and the dj was so much fun...Thank you to Aloha Kitchen what a wonderful time",1,0,0
Mr_df6j2qIyoiXiHPoztyA,5DCrTNKPpGBOJORIRu7SYQ,FY514Cg0qUfBcKjNVSEf-w,3,2016-03-08,"Was here a few months ago. First time trying Canadian Thai.Staff and Service was good!! The accommodated a table for 12, and it did get busy afterwards.Now to the food....As mentioned in other reviews, its CANADIAN Thai. If you are expecting authentic Thai, DONT!!Otherwise, nothing wrong with the food.I like authentic, so i will be going to another place for thai.I will come here for the good service, and decent Canadian food.  :)",0,0,0
yb9ZarBReT3CvVbcog9fhQ,5DCrTNKPpGBOJORIRu7SYQ,kRIPB7GPTHRj3cktAKAgsA,3,2016-03-08,"Came here with 4 kids, ordered 4 medium blizzards, i got 4 large blizzards and got charged for the large, luckily they were running a buy one get one for .99 cents deal. Kids enjoyed the blizzard.  Place was clean, lots of seating inside. Staff was friendly enough.  I asked for 3 covers because kids couldn't finish the large, and got the covers with no attitude.Will try this place again.Seating outside, and parking onsite.",0,0,0
qqY0aeuMCl9oDfw-H2if-w,8C5396Ory3qaO-5Lsix_CQ,DbJco15A2QEk26ZXZ43rOw,4,2009-08-06,I just tried this place last week.  The quality and value is hard to beat.  Recommended.  Though I wish you could order online.,0,0,1
P_paS7NKTUYGll3Xok5B8A,ncSUgmfdpxowEb3J2f1L5A,QbbpMJiSU4M5g3x-q-lLuQ,5,2016-12-20,"I just saw the Charlotte Ballet's Nutcracker here. WOW! The theater is clean and easy to get to.They serve beer, wine, soda, water and cocktails for resasonable prices. And you can bring it in the theater. We had seats on the orchestra level far left and had a great view of the stage.  They had plenty of bathrooms for intermission and even had ushers in the ladies room to help keep things moving (help you find an open stall). We did valet park at a restaurant across the street because we had dinner before. (Check out Capital Grill). Then when we left. There was a street band playing right outside. It added to the festive atmosphere. Enjoy!",0,0,0
O_p_OulBIgQ8rxxQtf0U7A,MLXspWChemyq680ojjzJaQ,2-dp92DvtwcK0giHehv73Q,5,2017-07-13,"Just found this place. Like to try new places to groom my dogs. This has been the best place to bring my dogs. She does amazing work, and actually listened to how I wanted my babies groomed. I recommend mad about dogs to anyone. I will be coming here from now on",0,0,0
sx62iOnpYOuOIvuJ6g_YdA,YZTlCCS3gFuQ_EyohlMMbQ,FzYngMQusFcXV_YE3WWgZQ,4,2010-07-06,"As a new pet owner, I can say I really enjoy taking my pup to the Lakewood Dog Park. The people who enjoy the park are very respectful of the space by cleaning up after their pets and keeping water bowls full for the dogs to share. Like any dog park, there are times it can get crowded, and considering the park is located next door to a water treatment plant, the area can get somewhat pungent, but all things considered, this is a great resource to dogs and dog enthusiasts in the Lakewood \/ Rocky River \/ West Park areas.",6,0,1
nAcWAIReTF0_OJhvhw7iAQ,h9EfmaPM68_7_qdd5dkXgg,S6TP_aHo6d7AkkBBKe249A,5,2017-01-25,I'm not sure why the reviews from here are so bad because this place is awesome!! Such a cute place!! Great food the Texas way! Which I was born and raised! The owner sat with us and was really nice and asked how our food was. The restaurant is super big and full of cool places to sit and things to look at. As I was walking out Keaton offered us some free ice cream! And it was so good and he was so sweet and nice. Just try it yourself! Will be going back!,2,2,0
Wz7ObQ23zMaiiL1K7AuF5w,5DCrTNKPpGBOJORIRu7SYQ,0euGYOEnK7qKkw3CHJ6nag,3,2016-03-22,"I've probably bought from Steelcase for 6-7 vehicles.  Great prices a few years ago.  Service was good back then. I would not look anywhere else for tires.The past 2 years, i went to get a quote, their prices were not great, and i found that they try to push certain brands.  Maybe for kickback from the manufacture, not sure, but i went in to get quotes for one brand and model and they recommended another brand and model.Also, when you walk in there, the counter staff don't acknowledge you because they are all busy on the phone.  Walk-in customers i think are more important, cause we made the effort to drive there and walk into your store.Anyhow, i started shopping at another tire store, because tire prices are more competitive now and i hate long wait times.",1,1,0
2JYQOvHD0fqCUVZDiWSxbw,5DCrTNKPpGBOJORIRu7SYQ,ual2fzzF5GYSefaNeUIYTA,5,2016-03-22,"I've had work on 2 of my cars in the past done here. Both times, very happy with their work!!Nice clean jobs on both cars.  I like when they ask me how i want the positioning of the exhaust tip, before they complete the job. They want you to walk away satisfied.On both cars, i've never had to go back to fix anything. Solid job!!Also, they don't try to upsell, they do recommend.  On one of my car they recommended that if i get a high flow cat, it would help with my magnaflow exhaust that i was putting on, then they checked and the oem was already a high flow. They didnt say, that the magnaflow highflow cat was better than the oem.  So they didnt try to upsell the magnaflow cat.This review is for the work they did back in 2001\/2002.  Hopefully nothings change since then.If i did ever need another custom exhaust, i would go back here!!",0,0,0
pTcOGx1kswcC2bdBMWQxlA,5DCrTNKPpGBOJORIRu7SYQ,300cN_XaArNzXKYrXYdr1Q,4,2016-12-17,"Pub style seating and atmosphere.Came here with some co-workers. Waitress was nice, and attentative.I ordered the blt with vegatable soup.Soup was nice and hot! Blt was pretty good!Washrooms are clean and stocked up. A bit cold though.Good place to go with loud friends for drinks and pretty good food!I enjoyed my first visit.4 - 4.5 stars!",0,0,0
Y_Q2Rrpq7WxJqPqZbeJ0lQ,r2xywQp9aOCd6IWYer2fUQ,3cHL1r5w2oLYH-veijtweA,1,2014-02-15,"My wife and I tried to have dinner at Public House last night.I ordered a bottled beer. The waiter placed the beer glass on the table as he opened the beer. I noticed that the glass was dishwasher hot. How that escaped the attention of the waiter is beyond me. I asked that he swap out the hot glass with a cold one.We started with a beet and endive salad to share. We received a small plate containing 5 slices of a beet and a few dime sized slivers of endive. All this for the absurdly high price of $13. We voiced our discontent to our usually helpful waiter. The manager brought over another smaller plate containing more endive, but no beets.For our entrees my guest selected their Scottish salmon ($26) and I ordered a Pub Burger ($19).Instead of fries I asked for something not so greasy. The waiter suggested sliced tomatoes. Perfect. I ordered the burger cooked medium rare. I also asked that they serve the aioli on the side. I received the fries which were cold, instead of the tomatoes i ordered. Further, the burger was as cold as the fries and the aioli was absent. Since we had theater tickets in hand for a fast approaching curtain, I returned the dish.My guest is on a low fat diet. She asked the waiter to provide plain quinoa instead of creamy quinoa and plain brussels sprouts instead of them roasted in butter. The salmon was ordered ""medium"". The dish arrived with the salmon cooked rare and the sprouts cooked hard raw. We sent the dish back along with my burger.The manager appeared again to apologize and to present his business card so that he could ensure a better experience should we elect to return. Overall the service was reasonable. Our waiter never asked us if we would like another drink (beer and a cocktail), which were finished with our salad.They gave us our check for 2 drinks and the salad. Paid and departed for the theater.",2,0,0
TLFg6iYrzSeRt23pDTEF2A,GaEQsPS60pD-XI8Bjx4llw,LhBP1BxWBM3aLLRR4zgQlw,1,2015-02-13,"The 1st time I went to Oreganos on Dobson and Southern, food was amazing so next time I decided to try the one on Gilbert Road. I did not care for the brushetta as the tomato pieces were too big so that they did not stay on the bread and the veggie sandwich had no taste to it and too big to bite on. The hot wings were too hot. The food was not as good at the Dobson branch. The service was good- friendly but the food put me off of going to it again. S.T.",0,0,0
0_SvbzgcpMQ0W3-dE7Hz-w,8WOsMmP7oneCoakfoYWd-Q,31kAtvJIvhXTmttehPbbBw,5,2016-01-06,Great and fast service. Real easy to work with. Had my project done ASAP,2,0,1
10NraA9KLPX1_w0CITh2hA,8WOsMmP7oneCoakfoYWd-Q,glVCZzuFSnf24UGYsOl2Vw,2,2015-02-23,"I was kinda disappointed. We walk in to the bar and waiting almost 10 minutes before the bartender even acknowledged us. He said he would be right back. 5 minutes later he was.We ordered drink # 1 and finished it. Waited about 10 minutes and then he came back and we ordered another. I drank that down and then the wait begins. Almost 15 minutes later, he came back. I was fuming. This is a customer service industry. Another thing that made me mad was that their was not many people there...",2,0,0
7YUjCl1ZP01wRGSUCfEL0Q,hYkeR-GuZy7QbgMLYh9wvw,364hhL5st0LV16UcBHRJ3A,4,2014-09-27,"Excellent! Could have been five stars!!My friend and I found on Yelp, looking to get off the strip. The place was quiet and mostly empty but we did arrive before 6 on a Sat which is def early for Vegas. Right away we noticed the sushi chefs. These guys are authentic! It's harder to describe but trust, you will understand when you see. We ordered a variety of apps and sushi and it was all amazing. Not a big desert fan and I think there were four to choose on the menu but the waitress highly recommended so we split one. Very unique and as amazing as the rest of the meal. We were looking to get away from the Vegas strip pricing though and it was not cheap. Cheap can be a dirty word though and I am a believer you get what you pay for. We tipped well and it was about $180 for the two of us inc one bottle $7 sake. Ok, it could have been even worse on the strip, but the food could not have been better. If you are looking to save I can't recommend but otherwise I recommend very highly!!",0,0,0
BRfHG6JnJihHUSvU6wsjlQ,SKuknCvb_G3ALTCF2WhENg,Mx8jCUdhaNbMgx_04DWHdA,4,2014-06-07,Fresh toppings... Hormone and antibiotic free DELICIOUS patty fried crispy on a hot griddle. Excellent value!,0,0,0
-QmnlYpyPNRrC5FosU3hDA,Ea3zkTaYttlZSGqWukjJRg,_YzwG_p4MXtZnb3ZEDLmdg,5,2016-10-23,This was my favorite part of the Montreal food tour. We went to the restaurant as soon as they opened and on the weekend so there was no wait. Ambience was very hip and casual. It was my first time having fish and chips. Beer battered cod was definitely the way to go. Well flavored. Fries tasted double fried as they were perfectly crispy. Prices were very reasonable. Definitely would go back!,2,0,0
z2Cd4Scna2FFPTzdbTdGMw,PloA7o3EF_O7GCporQAsbg,BN6-gHm2ZMkZoGT8VZaiRw,1,2016-06-22,As a rule I try not to post negative reviews but there is a lady that works here that is completely out of line her customer service is insane terrible we went in to look at sofa's but didn't want anyone fallowing us around so when we walked in we where greeted by a woman who asked what she could do for us we told her we where just looking around she didn't get so then she proceeded to ask us what we where looking for we told her again we where just looking she then gave us a dirty look and started walking away talking smack about us to the other employees standing by the entrance like vultures needless to say we left and went to Ashley's up the road where the customer service was amazing and we got an entire living room set so thank you walker for your terrible customer service,3,0,0
-zOW-5c3AhWqGcV-_ggriw,S76_JzZVdAXRjvck9mRq0A,poSV39UqEg-gpESXafS9-g,5,2016-05-05,"I took my son here and he is a very picky eater for a 10 year old. We were seated right away. He loved the idea of being able to write on the wall and the table and not get in trouble. This was my second time here and his 1st. We sat down and almost right away Dawn (our server) came over with a smile to take our order and ensure that we were taken care of. She was amazing! The service was great, the food was incredible and she actually was even able to convince him to try the crab. Would absolutely recommend going there and you must ask for Dawn!!!! It's an experience.",0,0,0
zhBZ3Jw306mX7k1DLCFlTA,XdtIZ5tUDY6IICs4Df6nlw,OJdufUU3hVabgviIBHksYw,4,2016-07-03,"Consistently good food and excellent service! I love the new modern decor and it's always clean and comfortable. Easy to read menu with good descriptions of what you're ordering make decision making easy. Reasonable prices, great service, good food, and hearty helpings will bring me back again next time I'm in town!",0,0,0
1tV06oEltZ61IRlFLN9R9Q,2G09bHKMvfiBhTR8theOyA,JGmY9Yvtc_LKcRH7JJHGvg,5,2017-07-21,Such amazing ice cream and incredible staff! Love their weekly soft serve. Vegan friendly Pandan Coconut is awesome too. Great place for the neighborhood :),0,0,0
9CA1t0UrGUK8YX2O3LKOIA,TdzLHJyUyns3TYIIXCbuOA,DZ4EHnAsirGI6Nm14LPR1A,5,2016-10-08,Stopped in here for the first time to grab a gift for my boss. The staff is great and super friendly. The young woman who helped me suggested one of their grab and go bouquets (which are stunning and only $20). They also allow you to create your own bouquet with their fresh seasonal flowers if you'd like. Great local shop. I'll definitely be back!,3,1,2
e0O-NlSJoupKhB9fBavI0w,MhvXkymhVr3TgYoD0dIVbw,bLi48v8Div6Qm2Fyaw0C6Q,1,2012-09-15,"The food is quite good, especially the cornbread and burger.  If this review was solely based on that, it would be a solid 4 stars. Unfortunately, I have to downgrade because they served my husband the lobster whipped potatoes with his salmon even though we informed our waiter that he is allergic to shellfish. Our waiter write down regular mashed potatoes, but the kitchen apparently didn't read the order carefully. My husband broke out in a rash as soon as we got home. Thankfully, my husband's allergic reaction is limited to rashes only, but that is not the case for many people with food allergies.  Perhaps it's because they just opened and are still ironing out the wrinkles, but that is really no excuse for serving people food they are allergic to after being informed of those allergies.",4,0,0
